Review Date,Show,Headline,Article Link,Star Rating
2024/sep/18,Romeo and Juliet,star-crossed lovers double up and dazzle,https://www.theguardian.com/stage/2024/sep/18/romeo-and-juliet-review-shakespeare-north-playhouse-prescot,4/5
2024/sep/18,Dear Evan Hansen,affecting account of teen torment embarks on UK tour,https://www.theguardian.com/stage/2024/sep/18/dear-evan-hansen-review-nottingham-playhouse,3/5
2024/sep/18,Two of Us,Lennon and McCartney come together for humdrum reunion,https://www.theguardian.com/stage/2024/sep/18/two-of-us-review-lennon-and-mccartney-come-together-watford-palace,2/5
2024/sep/17,The Old Man and the Land,sibling squabbles as family unravels like an old jumper,https://www.theguardian.com/film/2024/sep/17/the-old-man-and-the-land-review-sibling-squabbles-as-family-unravels-like-an-old-jumper,3/5
2024/sep/17,The Lightest Element,tribute to trailblazing astronomer expected to make the tea,https://www.theguardian.com/stage/2024/sep/17/the-lightest-element-review-hampstead-theatre-london,3/5
2024/sep/17,Trent Dalton’s Love Stories,a stage adaptation that grabs you by the heart,https://www.theguardian.com/culture/2024/sep/17/trent-dalton-love-stories-theatre-review-qpac-brisbane,4/5
2024/sep/16,Ben Elton: Authentic Stupidity,bewildered boomer is a cross-gen hit,https://www.theguardian.com/stage/2024/sep/16/ben-elton-authentic-stupidity-review-bewildered-boomer-is-a-cross-gen-hit,4/5
2024/sep/15,Show & Tell,"Alan Ayckbourn’s clever, very funny 90th play",https://www.theguardian.com/stage/2024/sep/15/show-and-tell-alan-ayckbourn-90th-play-stephen-joseph-theatre-scarborough-review-more-than-just-very-funny,4/5
2024/sep/15,London City Ballet: Resurgence,a glorious revival,https://www.theguardian.com/stage/2024/sep/15/london-city-ballet-resurgence-sadlers-wells-review-ashley-page-kenneth-macmillan-christopher-marney-arielle-smith,4/5
2024/sep/14,The Australian Ballet: Oscar,much to love in this blend of classical and contemporary dance,https://www.theguardian.com/culture/2024/sep/14/the-australian-ballet-oscar-review-much-to-love-in-this-blend-of-classical-and-contemporary-dance,4/5
2024/sep/13,The Real Ones,fascinating friendship zooms through decades,https://www.theguardian.com/stage/2024/sep/13/the-real-ones-review-bush-theatre-london,3/5
2024/sep/13,London City Ballet,rebirth after almost three-decade absence,https://www.theguardian.com/stage/2024/sep/13/london-city-ballet-review-sadlers-wells-joyce-new-york,4/5
2024/sep/12,The Roommate,Patti LuPone and Mia Farrow elevate so-so play,https://www.theguardian.com/stage/2024/sep/12/the-roommate-review-patti-lupone-mia-farrow-play,3/5
